UniqueID,MAIN_CROP,MAIN_CROP_DATE,YR_PLANTED,ACRES,COUNTY,REGION,HYDRO_RGN,CROPTYP1,CLASS1,SUBCLASS1,study_region,is_unit,nearest_station_km
3102828,D12,,2020,36.5684758407564,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,19.04
3102790,D12,,2019,48.9626383370474,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,16.4
3102791,D12,,2018,6.079788672019987,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,16.37
3102800,D12,,2019,80.62069980590664,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,17.64
3102801,D12,,2019,10.051954914869606,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,18.09
3102829,D12,,2020,17.023255331011043,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,17.93
3102830,D12,,2020,48.785326232081275,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,17.41
3102831,D12,,2020,24.78342105138169,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,16.89
3102832,D12,,2020,39.363993008970624,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,16.86
3102833,D12,,2019,56.46626060253574,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,17.33
3102834,D12,,2020,23.953418450749126,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,18.21
3102835,D12,,2020,46.01676290953486,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,17.89
3102803,D12,,2019,17.811698920993837,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,16.68
3102852,D12,,2020,223.76444308628265,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,17.36
3102859,D12,,2018,96.51940248310237,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,23.36
3102042,D12,,2020,31.991204241329008,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,18.07
3102129,D12,,2022,10.99184268059743,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,20.09
3102153,D12,,2020,34.8846324485575,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,24.45
3102180,D12,,2016,98.14830309967172,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,14.63
3102315,D12,,2020,50.7135689113968,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,14.82
3102674,D12,,2018,54.94292183317504,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,27.42
3102804,D12,,2019,11.372621953541044,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,16.97
3101164,D12,,2018,95.49727339700242,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,16.21
3101169,D12,,2016,218.20464072007627,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,14.91
3101281,D12,,2020,23.58828797538355,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,18.2
3103030,D12,,2020,114.29638619044205,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,16.19
3103031,D12,,2020,84.60033921623184,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,12.7
3103032,D12,,2020,78.32660784372902,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,13.49
3101519,D12,,2018,105.9118053899328,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,16.08
