StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,HmsLatitude,HmsLongitude,SitingDesc,lat,lon,elev_ft,connect,disconnect,elev_m,dist_to_almond_km,in_window
1,Fresno/F.S.U. USDA,Fresno,South Central Region Office,Fresno,6/7/1982,9/25/1988,False,True,340,Grass,36º48'52N / 36.814444,-119º43'54W / -119.73167,,36.814444,-119.73167,340,1982-06-07,1988-09-25,103.632,0.17,False
2,FivePoints,Five Points,South Central Region Office,Fresno,6/7/1982,12/31/2050,True,True,285,Grass,36º20'10N / 36.336222,-120º6'46W / -120.11291,"This station is located on a USDA research facility located in the Southern San Joaquin Valley. Consequently the surrounding environment can be subject to land use changes. <br />
Prevailing Wind: North",36.336222,-120.11291,285,1982-06-07,2050-12-31,86.86800000000001,0.66,True
3,Beach /Santa Cruz CO,Watsonville,South Central Region Office,Santa Cruz,5/30/1982,8/25/1986,False,True,10,Grass,36º52'50N / 36.880556,-121º47'36W / -121.79333,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(51, 65, 85);"">DATE: 11-18-13</span></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255); color: rgb(51, 65, 85);"">STATION#:5</span></p><p><span style=""background-color: rgb(255, 255, 255); color: rgb(51, 65, 85);"">STATION NAME: Shafter</span></p><p><span style=""background-color: rgb(255, 255, 255); color: rgb(51, 65, 85);"">ETO ZONE: 15</span></p><p><span style=""background-color: rgb(255, 255, 255); color: rgb(51, 65, 85);"">PREVAILING WINDS: NW</span></p><p><span style=""background-color: rgb(255, 255, 255); color: rgb(51, 65, 85);"">LOCAL CHARACTER: Agricultural area. Primary crops include cotton, tree crops flower seed and hay.</span></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255); color: rgb(51, 65, 85);"">DESCRIPTION OF STATION SITE:</span></p><p><span style=""background-color: rgb(255, 255, 255); color: rgb(51, 65, 85);"">Located on a former USDA Cotton Research facility. Now managed by San Joaquin Valley Cotton Growers Association (2013). There is a roughly one year gap in data </span></p>",36.880556,-121.79333,10,1982-05-30,1986-08-25,3.048,71.79,False
4,Webb /Santa Cruz CO,Watsonville,South Central Region Office,Santa Cruz,5/30/1982,4/29/1988,False,True,230,Grass,36º58'21N / 36.9725,-121º43'34W / -121.72611,,36.9725,-121.72611,230,1982-05-30,1988-04-29,70.104,62.02,False
5,Shafter,Shafter,South Central Region Office,Kern,6/1/1982,12/31/2050,True,False,360,Grass,35º31'57N / 35.532556,-119º16'54W / -119.28179,,35.532556,-119.28179,360,1982-06-01,2050-12-31,109.72800000000001,0.39,True
6,Davis,Davis,North Central Region Office,Yolo,7/17/1982,12/31/2050,True,True,60,Grass,38º32'8N / 38.535694,-121º46'35W / -121.77636,"DATE: 10-20-02<br/><br/>
STATION#:6<br/>                    STATION NAME: Davis<br/><br/>
ETO ZONE: 14<br/>
PREVAILING WINDS: N and S (diurnal pattern)<br/>
LOCAL CHARACTER: Located on the Campbell Tract research facility at UC Davis.  It is used for research on, primarily, various row crops, e.g. tomatoes, corn and cotton.<br/><br/>  

DESCRIPTION OF STATION SITE:<br/>
A grassed area that is maintained for the station by UCD personnel.  The grass is   sprinkler irrigated and mowed to a simulation of a lawn.<br/><br/>

NORTH:<br/>
160ft: Well maintained grass.<br/>
160ft: Fallow (fall 2002)<br/><br/>

EAST:<br/>
100ft: Grass<br/> 
100-125ft: Small utility buildings then a gravel access road<br/>
125ft: Orchard<br/><br/>

SOUTH:<br/>
125ft: Grass<br/>
125ft: Experimental equipment (meteorology/air quality) then tilled fallow fields<br/><br/> 

WEST:<br/>
225ft: Grass<br/>
225ft: Fallow field<br/><br/> 

COMMENTS:<br/>
Due to the changing requirements of research carried out on the Campbell Tract, the conditions of the fields immediately outside the grassed portion around the station may (and does) vary from season to season.   As a consequence, these activities may affect the station site to some degree.",38.535694,-121.77636,60,1982-07-17,2050-12-31,18.288,1.98,True
7,Firebaugh/Telles,Firebaugh,South Central Region Office,Fresno,9/22/1982,12/31/2050,True,True,185,Grass,36º51'4N / 36.851222,-120º35'27W / -120.59092,"DATE: 11-12-02<br/><br/>
STATION#:7<br/>                         STATION NAME: Firebaugh<br/> 
ETO ZONE: 15<br/>		
PREVAILING WINDS: WNW<br/>
LOCAL CHARACTER: Firebaugh is located in an intensive agricultural area.  Primary crops include, alfalfa, cotton and truck farm vegetables.<br/>

DESCRIPTION OF STATION SITE:
Located in the lawn area of an agriculture-related company adjacent to shops and housing. The turf is well maintained and sprinkler irrigated by ranch personnel.<br/><br/>
 
NORTH:<br/>
75ft: Well-maintained turf<br/>
75-100ft: Paved interior drive<br/>
100-300ft: Well-maintained turf<br/><br/>

NORTHEAST:<br/>
70ft: Well-maintained turf<br/> 
70ft: Guard Shack/trees and driveway beyond<br/><br/>

EAST:<br/>
70ft: Well-maintained turf<br/>
70ft: 3ft wall<br/>
70-100ft: paved drive<br/>
100ft: Well-maintained turf<br/><br/>

SOUTHEAST:<br/>
70ft: Well-maintained turf<br/> 
70ft: Clump of trees and driveway beyond<br/><br/>

SOUTH:<br/>
100ft: Well-maintained turf<br/>
100-175ft: ditch and paved road<br/>
175ft: Row crops<br/><br/>

WEST:<br/>
70ft: Well-maintained turf<br/>
70ft: Scattered trees and well-maintained turf<br/><br/>

COMMENTS:<br/>
Irrigation sprinklers sometimes impact the station affecting sensors, especially, the rain gauge.",36.851222,-120.59092,185,1982-09-22,2050-12-31,56.388000000000005,3.59,True
8,Gerber,Gerber,Northern Region Office,Tehama,9/22/1982,8/14/2014,False,True,250,Grass,40º2'39N / 40.044053,-122º9'56W / -122.16551,,40.044053,-122.16551,250,1982-09-22,2014-08-14,76.2,0.0,False
9,Lamont,LaMont,South Central Region Office,Kern,9/29/1982,4/10/1989,False,True,406,Grass,35º14'17N / 35.238056,-118º53'40W / -118.89444,,35.238056,-118.89444,406,1982-09-29,1989-04-10,123.7488,0.13,False
10,Bakersfield/Greenlee,Mettler Station,South Central Region Office,Kern,10/1/1982,4/16/1986,False,True,400,Grass,35º4'37N / 35.077083,-119º4'56W / -119.08213,,35.077083,-119.08213,400,1982-10-01,1986-04-16,121.92,1.58,False
